9999,14.3384,9999,9999,1^4^20:1^1^1520
9999,11.863,9999,9999,1^3^20:1^1^1520
9999,6.67771,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,12.6599,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,7.4529,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,2.62707,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,6.65948,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,1.6002,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,7.69879,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,19.6321,9999,9999,1^4^20:1^1^1520
9999,0.97029,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,8.51494,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,15.7237,9999,9999,1^3^20:1^1^1520
9999,3.35637,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,5.95244,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,6.41387,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,1.21718,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,6.41033,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,0.00779282,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,11.828,9999,9999,1^4^20:1^1^1520
9999,19.7752,9999,9999,1^3^20:1^1^1520
9999,18.7708,9999,9999,1^4^20:1^1^1520
9999,18.697,9999,9999,1^3^20:1^1^1520
9999,15.6251,9999,9999,1^4^20:1^1^1520
9999,15.0153,9999,9999,1^3^20:1^1^1520
9999,17.2672,9999,9999,1^4^20:1^1^1520
9999,4.11267,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,10.3259,9999,9999,1^4^20:1^1^1520
9999,2.22508,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,0.71505,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,7.68356,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,3.27941,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,15.1577,9999,9999,1^3^20:1^1^1520
9999,5.30205,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,3.53585,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,19.8156,9999,9999,1^4^20:1^1^1520
9999,15.1799,9999,9999,1^3^20:1^1^1520
9999,3.64527,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,3.78661,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,13.3896,9999,9999,1^4^20:1^1^1520
9999,18.7912,9999,9999,1^3^20:1^1^1520
9999,12.7,9999,9999,1^4^20:1^1^1520
9999,18.9168,9999,9999,1^3^20:1^1^1520
9999,15.055,9999,9999,1^4^20:1^1^1520
9999,9.05134,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,8.37447,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,0.537879,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,19.691,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,12.897,9999,9999,1^4^20:1^1^1520
9999,5.39375,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,3.57237,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,19.3164,9999,9999,1^4^20:1^1^1520
9999,4.4853,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,2.73973,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,16.4817,9999,9999,1^3^20:1^1^1520
